5.3,-2.5,12.8,0.001,7.7,3.5,1.4,-2.3,25,64.1,12.2,6.8,-2.9,740
7.2,1.8,14.3,0.001,11.9,5,2,-5.1,19,48.6,12.2,6.8,-4.6,750
1.4,-2,5.3,8.2,7.1,3.4,1.5,-1,62,84.9,12.3,3.9,-1.3,730
-0.7,-3.1,2.3,0.001,9,5,1.5,-2.8,69,85.5,12.3,2.7,-3.7,730
0.7,-1.5,3.9,1.6,6.1,3.4,1,-1.1,59,88,12.3,2.4,-2.6,730
7.9,-0.5,13.8,0.001,7.6,4.2,1.5,-9.5,13,30.9,12.5,6.6,-6.1,740
10.2,4.8,14.6,0.001,14.5,5.6,3,-3.9,24,37.3,12.5,8.1,0.7,780
10.1,2,15.5,0.001,11.6,4.1,1.6,-4.4,20,39.5,12.5,10.2,-3.6,810
10.4,3.5,18.3,0.001,7.3,3.1,1,-6.9,15,31.8,12.6,9.4,-2.9,830
9.2,0.3,18.1,0.001,7.8,4.4,1.4,-2.3,22,48.4,12.6,10.1,-5.4,840
7,4.5,9.8,0.3,6.6,4.6,1.6,4.2,70,83,12.7,8,3.4,880
10.7,3.4,17.6,0.001,8.7,3.9,1.7,-5.8,11,37,12.8,11.5,-2,960
11.9,4,19.4,4.3,8,5.4,2.2,-2.7,12,43.5,12.8,11.2,-1.3,970
10,6.3,15.8,25.5,7.7,3.4,1.4,6.2,57,79.1,12.9,12,5,1020
12.2,3.7,17.8,0.001,13.6,5.5,2.2,-1.7,20,44.4,12.9,12.9,-1.5,1020
2.8,0.3,8.3,0.1,6.8,4.6,1.7,0.001,62,82.9,13,7,-0.7,1030
10,0.001,17.8,0.001,9.2,5.9,2.5,-1.8,26,49.3,13,10.3,-3.4,1000
11.2,3.7,19.8,0.001,11.5,5.5,1.5,2.7,28,61.5,13.1,14.1,-0.7,990
12.1,2.1,19.4,0.001,9.5,6.4,2.5,0.001,21,48.3,13.2,14.5,-1.8,990
8.8,4.6,14.9,5.1,15,6.2,2.9,-2.9,22,47.1,13.3,10.4,1.1,990
9.3,4.6,16,0.001,10.6,3.7,1.7,0.7,22,55.5,13.3,12.8,1.7,940
11.8,6,19.1,0.001,10.4,6.1,2.2,-0.8,16,45.8,13.3,11.4,1.8,930
11.6,7.5,15.3,18.5,7.6,3.1,1,9.3,72,86.5,13.4,11.8,6.4,900
15.9,6.9,22.2,0.001,14.8,6.1,2.3,4.7,26,53.3,13.4,15.7,1.3,870
